[Chapter]
0

[Title]


[Explain]


[RequiredStat]
0,0,0,0

[Script]
ScriptId,ScriptType,CharacterName,Text,TextDuration,SkipMethod,SkipDelay,LinkEvent,Audio0,Audio1,EventType,DurationTurn,EventDelay,EventDuration,LoopCount,LoopType,LoopDelay,EventParam0,EventParam1,EventParam2,EventParam3,EventParam4,EventParam5,EventParam6,EventParam7,EventParam8,EventParam9,EventParam10,EventParam11,EventParam12,EventParam13,EventParam14,EventParam15,EventParam16,EventParam17,EventParam18,EventParam19
20001,Text,,,0.1,Skipable,0.5,False,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
20002,Event,,,0.1,Skipable,0.5,False,,,Branch,0,0,0.5,0,Restart,0,LovePoint,Seeun,0,20003,0,20007,0,,,,,,,,,,,,,
20003,Event,,,0.1,Skipable,0.5,False,,,Branch,0,0,0.5,0,Restart,0,LovePoint,Seeun,0,20004,0,20006,0,,,,,,,,,,,,,
20004,Text,,,0.1,Skipable,0.5,False,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
20005,Event,,,0.1,Skipable,0.5,False,,,BranchEnd,0,0,0.5,0,Restart,0,Auto,,,,,,,,,,,,,,,,,,,
20006,Text,,,0.1,Skipable,0.5,False,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
20007,Event,,,0.1,Skipable,0.5,False,,,BranchEnd,0,0,0.5,0,Restart,0,Auto,,,,,,,,,,,,,,,,,,,
20008,Event,,,0.1,Skipable,0.5,False,,,BranchEnd,0,0,0.5,0,Restart,0,Auto,,,,,,,,,,,,,,,,,,,
20009,Event,,,0.1,Skipable,0.5,False,,,BranchEnd,0,0,0.5,0,Restart,0,Auto,,,,,,,,,,,,,,,,,,,
20010,Event,,,0.1,Skipable,0.5,False,,,BranchEnd,0,0,0.5,0,Restart,0,Auto,,,,,,,,,,,,,,,,,,,
20011,Text,,,0.1,Skipable,0.5,False,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
20012,Event,,,0.1,Skipable,0.5,False,,,BranchEnd,0,0,0.5,0,Restart,0,Auto,,,,,,,,,,,,,,,,,,,
20013,Text,,,0.1,Skipable,0.5,False,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
20014,Text,,,0.1,Skipable,0.5,False,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
