ScriptId,ScriptType,CharacterName,Text,TextDuration,SkipMethod,SkipDelay,LinkEvent,Audio0,Audio1,EventType,DurationTurn,EventDelay,EventDuration,LoopCount,LoopType,LoopDelay,EventParam0,EventParam1,EventParam2,EventParam3,EventParam4,EventParam5,EventParam6,EventParam7,EventParam8,EventParam9,EventParam10,EventParam11,EventParam12,EventParam13,EventParam14,EventParam15,EventParam16,EventParam17,EventParam18,EventParam19
10100001,Text,,,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100005,Text,,띠- 띠- 띠띠-,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100006,Text,지혜,에헤~,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100009,Text,<PlayerName>,···?,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100010,Text,,방금 나간다고 하지 않았나?,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100011,Text,지혜,요일을 헷갈렸네······,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100013,Text,<PlayerName>,아···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100014,Text,지혜,어? 뭐야. 세은이 벌써 자러 들어갔어요?,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100016,Text,<PlayerName>,아. 네네···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100017,Text,지혜,음··· 그러면 뭐하지~,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100019,Text,지혜,흐흠~?,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100021,Text,,아주 흥이 넘치시네···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100022,Text,,나같으면 요일 헷갈렸다고 징징대면서 들어왔을텐데···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100023,Text,지혜,혹시 하실 거 없죠?!,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100025,Text,<PlayerName>,아 네네···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100026,Text,지혜,같이 밥이라도 드실래요? 저도 급하게 나가서 못 먹었거든요!,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100027,Text,<PlayerName>,아··· 그러면 제가 시킬까요?,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100028,Text,지혜,에에~ 아니요! 제가 만들어드릴게요!!!,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100030,Text,<PlayerName>,···어 네.,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100031,Text,,뭐지. 왜 이렇게 불안하냐.,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100032,Text,,사람이 너무 칠칠맞으니까 불이라도 낼 거 같네.,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100033,Text,지혜,김치볶음밥 만들 건데 괜찮으시죠?,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100034,Text,<PlayerName>,네··· 좋아요.,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100035,Text,지혜,음··· 일단 계란이···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100036,Text,지혜,어!,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100038,Text,,찰팍-,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100039,Text,지혜,···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100040,Text,<PlayerName>,···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100041,Text,지혜,아핫··· 뭐 계란은 많으니까···,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100043,Text,,···시켜먹을까.,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100044,Text,지혜,음~ 일단 뭐부터 넣지?,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100046,Text,지혜,소금이랑···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100047,Text,지혜,아! 계란!,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100048,Text,지혜,그릇이 어디있더라···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100049,Text,,쨍그랑!,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100051,Text,,···우와. 시작한지 5분도 안되서 두 개 부수기.,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100052,Text,<PlayerName>,어··· 그 괜찮죠?,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100053,Text,지혜,아! 음식은 괜찮아요! 별 일 없으니까 기다리세요!!!,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100055,Text,,음식 말고 너요···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100056,Text,,아니 나부터 걱정해야 하려나···?,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100057,Text,지혜,이거랑··· 저거랑···,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100059,Text,지혜,이거 넣고···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100060,Text,,,0.03,Auto,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100062,Text,지혜,다 됐어요!,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100064,Text,<PlayerName>,···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100065,Text,,뭔가 좀 미심쩍긴 한데. 악의는 없어보이니까···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100066,Text,지혜,으음··· 맛있다아···♡,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100068,Text,지혜,우히히···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100069,Text,,진짜 맛있게 먹네.,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100070,Text,,나도 한 입···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100071,Text,<PlayerName>,···오,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100072,Text,지혜,맛있죠 맛있죠!,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100074,Text,<PlayerName>,맛있···긴 하네요.,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100075,Text,지혜,그렇다니까요! 왜 이렇게 걱정해!,0.03,Skipable,0.5,TRUE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
10100077,Text,,누가 요리를 무섭게 만드셔서요···,0.03,Skipable,0.5,FALSE,,,None,0,0,0.5,0,Restart,0,,,,,,,,,,,,,,,,,,,,
